Ckpt,InnerDist,CumDist,Altitude,CumulPlus,CumulMinus,VarPlus,VarMinus,Time_barrier,Drink,Food,Foodx2,Bed,Change_clothes,Medical,Bus,Wc
Delevret,5.9,13.8,1764,896,167,896,167,0,0,0,0,0,0,0,0,0
St.Gervais,7.2,21,818,951,1168,55,1001,1,1,1,0,0,0,1,1,1
Contamines,9.7,30.7,1153,1486,1368,535,200,1,0,0,0,0,0,0,0,0
Balme,8.1,38.8,1703,2036,1368,550,0,1,1,1,0,0,0,1,0,1
Bonhomme,3.4,42.2,2325,2658,1368,622,0,0,0,0,0,0,0,0,0,0
Chapieu,7.2,49.4,1554,2823,2304,165,936,1,1,1,1,1,0,1,1,1
Seigne,10.3,59.7,2502,3781,2314,958,10,0,0,0,0,0,0,0,0,0
Combal,6.1,65.8,1970,4052,2902,271,588,1,1,1,0,0,0,1,1,1
MtFavre,4.3,70.1,2417,4509,3127,457,225,0,0,0,0,0,0,0,0,0
Checrou,4.9,75,1919,4520,3636,11,509,0,1,0,0,0,0,0,0,1
Courm1,3.8,78.8,1195,4520,4360,0,724,1,0,0,0,0,1,0,0,0
Bertone,4.9,83.7,1979,5336,4392,816,32,0,1,0,0,0,0,0,0,1
Bonatti,7.3,91,2015,5616,4636,280,244,0,1,0,0,0,0,0,0,1
Arnuva,5.2,96.2,1786,5721,4970,105,334,1,1,1,0,0,0,1,1,1
GdColF,4.5,100.7,2525,6475,4985,754,15,0,0,0,0,0,0,0,0,0
Fouly,9.4,110.1,1600,6623,6059,148,1074,1,1,1,0,0,0,1,1,1
Champex,14,124.1,1465,7178,6748,555,689,1,1,1,1,1,0,1,1,1
Giete,11.6,135.7,1884,7997,7148,819,400,0,0,0,0,0,0,0,0,0
Trient,4.9,140.6,1303,8073,7805,76,657,1,1,1,0,0,0,1,1,1
Catogne,5,145.6,2034,8889,7890,816,85,0,0,0,0,0,0,0,0,0
Vallo,5.3,150.9,1270,8922,8687,33,797,1,1,1,0,0,0,1,1,1
TaVents,7.7,158.6,2127,9779,8687,857,0,1,0,0,0,0,0,0,0,0
Flegere,3.6,162.2,1865,9825,9004,46,317,1,1,0,0,0,0,0,0,1
Arrivee,7.2,169.4,1035,9889,9889,64,885,1,1,1,1,1,1,1,1,1
